Summary output file for CONGO-2D

Definition of terms:
Stream Thrust = Mdot*Vel + Pexit*Aexit
Gross Thrust = Mdot*Vel + Pexit*Aexit - Pamb*Aexit
Stream Thrust = Gross Thrust when Pamb = 0 (vacuum)
Cfg = Nozzle Thrust Coefficient (Gross Isp/Ideal Isp)
C* = Characteristic Exhaust Velocity
CD = Discharge coefficient: Massflow 2D/ Massflow 1D
1D = Assumes input are axial
2D = Uses actual flow angles in calculation

Input parameters
R*  = Throat Radius (in)

Nozzle Type: Perfect Nozzle

Nozzle Geometry:	Axisymmetric Nozzle
Design Parameter:	Exit Mach Number = 3.5
Throat Geometry created by two arcs of given radii.
Upstream Radius/R*:	1
Downstream Radius/R*:	1

Thermodynamic Inputs
Total Pressure (psia):	500
Total Temperature (R):	530
Gamma:	1.4
Molecular Weight:	28.96
Ambient Pressure (psia):	0

MOC Grid Parameters
Number of characteristic lines at the nozzle throat:	101
Maximum allowable angle between characteristics along wall (deg):	0.5
Number of RRCs to calculate above KERNEL (50-100):	100

The Initial Data Line is where the MOC calculation begins.
Its based on the upstream radius of curvature and gamma.
It is solved for using a method developed
by Kliegel and Levine. This method is based on a method
developed by Hall. Hall used cylindrical coordinates (R)
This method uses toroid coordinates (R+1). This method
does better for small upstream radii.

Initial Data Line (Throat)

I	X/R*	R/R*	Mach	Flow Angle(deg)	Pres.(psia)	Temp.(R)	Den.(slug/ft3)	Gamma	Mass Flow(lbm/s)
0	0	1	1.17779	0	212.216	414.892	0.0429112	1.4	35.7288
1	0.000115146	0.999815	1.17793	0.0142295	212.179	414.872	0.0429059	1.4	35.7157
2	0.000460843	0.99926	1.17833	0.0567608	212.069	414.81	0.0428899	1.4	35.6764
3	0.00103843	0.998335	1.17901	0.127212	211.884	414.707	0.0428632	1.4	35.6109
4	0.00185042	0.997042	1.17996	0.224996	211.625	414.562	0.0428257	1.4	35.5193
5	0.00290049	0.99538	1.18118	0.349323	211.289	414.374	0.0427772	1.4	35.4017
6	0.00419348	0.99335	1.1827	0.499205	210.875	414.142	0.0427174	1.4	35.2583
7	0.00573538	0.990955	1.18451	0.67346	210.382	413.865	0.042646	1.4	35.0891
8	0.00753329	0.988195	1.18662	0.870718	209.808	413.541	0.0425628	1.4	34.8943
9	0.00959544	0.985073	1.18904	1.08943	209.149	413.17	0.0424673	1.4	34.6742
10	0.0119311	0.981589	1.19179	1.32788	208.404	412.749	0.0423592	1.4	34.429
11	0.0145506	0.977747	1.19487	1.58418	207.572	412.278	0.0422383	1.4	34.1589
12	0.0174652	0.973549	1.19829	1.85631	206.649	411.753	0.0421041	1.4	33.8643
13	0.0206871	0.968997	1.20206	2.14213	205.636	411.175	0.0419565	1.4	33.5454
14	0.0242295	0.964094	1.20618	2.43935	204.53	410.543	0.0417953	1.4	33.2027
15	0.0281061	0.958842	1.21067	2.74562	203.333	409.854	0.0416203	1.4	32.8366
16	0.0323314	0.953247	1.21552	3.05853	202.043	409.11	0.0414316	1.4	32.4474
17	0.0369204	0.94731	1.22073	3.37561	200.663	408.31	0.0412293	1.4	32.0358
18	0.0418884	0.941036	1.2263	3.69437	199.195	407.454	0.0410135	1.4	31.6021
19	0.047251	0.934428	1.23222	4.01235	197.641	406.543	0.0407848	1.4	31.147
20	0.053024	0.927491	1.23849	4.32714	196.006	405.579	0.0405435	1.4	30.671
21	0.0592226	0.920228	1.24509	4.6364	194.295	404.564	0.0402903	1.4	30.1749
22	0.065862	0.912645	1.25201	4.93788	192.513	403.501	0.0400261	1.4	29.6594
23	0.0729568	0.904746	1.25921	5.22951	190.668	402.392	0.0397517	1.4	29.1252
24	0.0805207	0.896536	1.26669	5.50934	188.766	401.241	0.0394681	1.4	28.5732
25	0.0885663	0.888021	1.27441	5.77563	186.817	400.053	0.0391766	1.4	28.0043
26	0.0971052	0.879204	1.28234	6.02686	184.829	398.832	0.0388784	1.4	27.4193
27	0.106147	0.870093	1.29045	6.26173	182.811	397.583	0.0385747	1.4	26.8194
28	0.115701	0.860693	1.29871	6.47917	180.773	396.312	0.038267	1.4	26.2055
29	0.125773	0.85101	1.30709	6.67837	178.723	395.023	0.0379565	1.4	25.5787
30	0.136367	0.841049	1.31554	6.85878	176.671	393.721	0.0376447	1.4	24.9403
31	0.147487	0.830818	1.32404	7.02008	174.625	392.413	0.0373329	1.4	24.2913
32	0.159132	0.820322	1.33255	7.16219	172.594	391.104	0.0370222	1.4	23.6331
33	0.171301	0.809568	1.34105	7.28524	170.585	389.797	0.0367138	1.4	22.9669
34	0.18399	0.798564	1.34949	7.3896	168.604	388.499	0.0364088	1.4	22.2939
35	0.197194	0.787315	1.35787	7.47579	166.657	387.212	0.036108	1.4	21.6155
36	0.210903	0.77583	1.36615	7.5445	164.749	385.939	0.0358121	1.4	20.9329
37	0.225109	0.764116	1.37432	7.59653	162.881	384.685	0.0355217	1.4	20.2475
38	0.239801	0.75218	1.38237	7.63282	161.058	383.449	0.0352372	1.4	19.5605
39	0.254966	0.74003	1.3903	7.65433	159.278	382.234	0.0349587	1.4	18.8733
40	0.270589	0.727673	1.39809	7.66209	157.543	381.04	0.0346862	1.4	18.187
41	0.286657	0.715119	1.40576	7.65715	155.851	379.865	0.0344196	1.4	17.5029
42	0.303153	0.702374	1.41331	7.64053	154.198	378.71	0.0341585	1.4	16.8222
43	0.320063	0.689448	1.42075	7.61322	152.582	377.572	0.0339024	1.4	16.146
44	0.337369	0.676348	1.42811	7.57616	150.998	376.448	0.0336506	1.4	15.4755
45	0.355055	0.663084	1.4354	7.53023	149.441	375.334	0.0334024	1.4	14.8118
46	0.373106	0.649663	1.44265	7.4762	147.905	374.229	0.0331569	1.4	14.1559
47	0.391504	0.636096	1.44989	7.41478	146.385	373.125	0.0329131	1.4	13.5088
48	0.410235	0.622391	1.45714	7.34657	144.874	372.021	0.0326701	1.4	12.8715
49	0.429283	0.608557	1.46444	7.27207	143.365	370.91	0.0324266	1.4	12.2448
50	0.448634	0.594604	1.47183	7.19172	141.852	369.787	0.0321818	1.4	11.6297
51	0.468272	0.58054	1.47934	7.10582	140.328	368.647	0.0319345	1.4	11.027
52	0.488185	0.566376	1.48699	7.01465	138.787	367.487	0.0316837	1.4	10.4375
53	0.508358	0.552122	1.49483	6.91838	137.224	366.299	0.0314284	1.4	9.86193
54	0.518569	0.537786	1.4918	6.6809	137.827	366.758	0.0315269	1.4	9.34071
55	0.538832	0.523379	1.49991	6.57725	136.22	365.531	0.0312639	1.4	8.79441
56	0.549073	0.508912	1.49759	6.34561	136.677	365.882	0.0313389	1.4	8.29959
57	0.559232	0.494394	1.49566	6.11855	137.059	366.173	0.0314014	1.4	7.81785
58	0.56931	0.479835	1.49413	5.89595	137.363	366.405	0.0314511	1.4	7.34966
59	0.579307	0.465246	1.49301	5.67769	137.587	366.576	0.0314877	1.4	6.89547
60	0.589224	0.450638	1.49229	5.46366	137.729	366.684	0.031511	1.4	6.45565
61	0.59906	0.436021	1.49198	5.25374	137.79	366.73	0.0315209	1.4	6.03058
62	0.608817	0.421406	1.49209	5.04784	137.77	366.715	0.0315175	1.4	5.62055
63	0.618493	0.406804	1.4926	4.84587	137.668	366.638	0.031501	1.4	5.22584
64	0.62809	0.392226	1.4935	4.64774	137.489	366.501	0.0314716	1.4	4.84667
65	0.637605	0.377683	1.49479	4.45341	137.232	366.305	0.0314297	1.4	4.48322
66	0.647039	0.363186	1.49646	4.26282	136.902	366.053	0.0313756	1.4	4.13562
67	0.656391	0.348748	1.49849	4.07592	136.501	365.746	0.0313099	1.4	3.80394
68	0.661024	0.334378	1.49669	3.86275	136.855	366.018	0.031368	1.4	3.49468
69	0.670149	0.320089	1.49937	3.68454	136.326	365.612	0.0312813	1.4	3.19437
70	0.674667	0.305893	1.49835	3.48394	136.528	365.767	0.0313144	1.4	2.91515
71	0.679114	0.291802	1.49768	3.29008	136.66	365.869	0.0313361	1.4	2.65065
72	0.683491	0.277828	1.49733	3.10276	136.729	365.921	0.0313473	1.4	2.40084
73	0.687796	0.263984	1.49729	2.92178	136.738	365.928	0.0313488	1.4	2.16563
74	0.692029	0.250281	1.49752	2.74697	136.692	365.893	0.0313413	1.4	1.94487
75	0.696189	0.236733	1.498	2.57813	136.596	365.82	0.0313256	1.4	1.73839
76	0.700276	0.223353	1.49871	2.41506	136.455	365.712	0.0313025	1.4	1.54596
77	0.704288	0.210154	1.49964	2.25757	136.273	365.572	0.0312727	1.4	1.36733
78	0.706255	0.19715	1.49905	2.09877	136.389	365.661	0.0312917	1.4	1.20305
79	0.708179	0.184354	1.49866	1.94625	136.465	365.719	0.0313041	1.4	1.05166
80	0.710058	0.17178	1.49846	1.79977	136.505	365.75	0.0313107	1.4	0.912816
81	0.713725	0.159445	1.49999	1.66405	136.203	365.519	0.0312612	1.4	0.785646
82	0.71462	0.147362	1.49933	1.52631	136.334	365.619	0.0312826	1.4	0.671078
83	0.716361	0.135548	1.49956	1.39636	136.288	365.583	0.0312751	1.4	0.567588
84	0.718052	0.124019	1.49991	1.27159	136.22	365.531	0.0312639	1.4	0.47497
85	0.718873	0.112792	1.49965	1.15031	136.27	365.57	0.0312722	1.4	0.392839
86	0.719666	0.101886	1.4995	1.03426	136.3	365.593	0.0312771	1.4	0.32051
87	0.720431	0.091319	1.49944	0.923324	136.312	365.602	0.031279	1.4	0.257446
88	0.721168	0.0811128	1.49947	0.817406	136.307	365.598	0.0312782	1.4	0.203088
89	0.721874	0.0712893	1.49956	0.716457	136.288	365.584	0.0312751	1.4	0.156852
90	0.722548	0.0618726	1.49972	0.620479	136.258	365.56	0.0312701	1.4	0.118134
91	0.723189	0.0528898	1.49992	0.529525	136.218	365.53	0.0312635	1.4	0.086309
92	0.723493	0.044371	1.4999	0.443493	136.22	365.532	0.031264	1.4	0.0607422
93	0.723777	0.0363508	1.49993	0.362881	136.215	365.527	0.031263	1.4	0.0407659
94	0.72391	0.0288697	1.49989	0.287892	136.224	365.534	0.0312645	1.4	0.0257127
95	0.724153	0.0219768	1.49998	0.21904	136.205	365.52	0.0312615	1.4	0.0148993
96	0.724263	0.0157341	1.5	0.15675	136.202	365.518	0.031261	1.4	0.00763677
97	0.724311	0.010224	1.49999	0.101826	136.203	365.518	0.0312611	1.4	0.00322453
98	0.724331	0.00556695	1.49999	0.0554352	136.204	365.519	0.0312613	1.4	0.000956004
99	0.724347	0.00196858	1.49999	0.019602	136.203	365.519	0.0312612	1.4	0.000119544
100	0.724356	0	1.5	0	136.202	365.518	0.031261	1.4	0

Initial Data Line(Throat Plane) 
For a throat radius(in) = 1.0. 
2-D Mass Flow (lbm/s):	35.7288
2-D Gross Thrust (lbf):	1971.99
2-D Isp (lbf-s/lbm):	55.1933
For an axisymmeric nozzle ,thrust and massflow are proportional to the throat
radius squared (R*^2). To find these values for a radius other than 1 inch,
multiple the values by the square of the new radius. For example, for a radius
of 3 inches, thrust and massflow would increase by a factor of 9.
2-D C* (ft/s):	1414.51

Based on the total conditions and assuming Mach = 1 at throat
1-D Mass Flow (lbm/s):	36.2819
1-D Gross Thrust (lbf):	1991.58
1-D Gross Isp (lbf-s/lbm):	54.8917
1-D C* (ft/s):	1392.95
CD(2-D/1-D):	0.984756

Initial Expansion Angle ThetaB(deg):	15.2196
Massflow error due to grid at end of Kernel (%):	100

Last LRC, DE that effects the nozzle wall contour.
J	X/R*	R/R*	Mach	Theta(deg)	P(psia)	T(R)	Velocity(ft/s)	Density(slug/ft3)	Gamma	
0	3.8308	0	3.5	0	6.55546	153.623	0.00357992	1.4
1	3.91785	0.0259548	3.5	0	6.55546	153.623	0.00357992	1.4
2	4.00491	0.0519096	3.5	0	6.55546	153.623	0.00357992	1.4
3	4.09196	0.0778644	3.5	0	6.55546	153.623	0.00357992	1.4
4	4.17902	0.103819	3.5	0	6.55546	153.623	0.00357992	1.4
5	4.26607	0.129774	3.5	0	6.55546	153.623	0.00357992	1.4
6	4.35313	0.155729	3.5	0	6.55546	153.623	0.00357992	1.4
7	4.44018	0.181683	3.5	0	6.55546	153.623	0.00357992	1.4
8	4.52724	0.207638	3.5	0	6.55546	153.623	0.00357992	1.4
9	4.61429	0.233593	3.5	0	6.55546	153.623	0.00357992	1.4
10	4.70135	0.259548	3.5	0	6.55546	153.623	0.00357992	1.4
11	4.7884	0.285503	3.5	0	6.55546	153.623	0.00357992	1.4
12	4.87546	0.311457	3.5	0	6.55546	153.623	0.00357992	1.4
13	4.96251	0.337412	3.5	0	6.55546	153.623	0.00357992	1.4
14	5.04957	0.363367	3.5	0	6.55546	153.623	0.00357992	1.4
15	5.13662	0.389322	3.5	0	6.55546	153.623	0.00357992	1.4
16	5.22368	0.415277	3.5	0	6.55546	153.623	0.00357992	1.4
17	5.31073	0.441231	3.5	0	6.55546	153.623	0.00357992	1.4
18	5.39779	0.467186	3.5	0	6.55546	153.623	0.00357992	1.4
19	5.48484	0.493141	3.5	0	6.55546	153.623	0.00357992	1.4
20	5.5719	0.519096	3.5	0	6.55546	153.623	0.00357992	1.4
21	5.65895	0.54505	3.5	0	6.55546	153.623	0.00357992	1.4
22	5.74601	0.571005	3.5	0	6.55546	153.623	0.00357992	1.4
23	5.83306	0.59696	3.5	0	6.55546	153.623	0.00357992	1.4
24	5.92012	0.622915	3.5	0	6.55546	153.623	0.00357992	1.4
25	6.00717	0.64887	3.5	0	6.55546	153.623	0.00357992	1.4
26	6.09423	0.674824	3.5	0	6.55546	153.623	0.00357992	1.4
27	6.18128	0.700779	3.5	0	6.55546	153.623	0.00357992	1.4
28	6.26834	0.726734	3.5	0	6.55546	153.623	0.00357992	1.4
29	6.35539	0.752689	3.5	0	6.55546	153.623	0.00357992	1.4
30	6.44245	0.778644	3.5	0	6.55546	153.623	0.00357992	1.4
