i	j	x	r	mach	theta	press	temp
0	0	0	1	1.17779	0	23.3438	414.892
1	0	0.000115146	0.999815	1.17793	0.0142295	23.3397	414.872
2	0	0.000460843	0.99926	1.17833	0.0567608	23.3276	414.81
3	0	0.00103843	0.998335	1.17901	0.127212	23.3073	414.707
4	0	0.00185042	0.997042	1.17996	0.224996	23.2787	414.562
5	0	0.00290049	0.99538	1.18118	0.349323	23.2418	414.374
6	0	0.00419348	0.99335	1.1827	0.499205	23.1963	414.142
7	0	0.00573538	0.990955	1.18451	0.67346	23.1421	413.865
8	0	0.00753329	0.988195	1.18662	0.870718	23.0788	413.541
9	0	0.00959544	0.985073	1.18904	1.08943	23.0064	413.17
10	0	0.0119311	0.981589	1.19179	1.32788	22.9245	412.749
11	0	0.0145506	0.977747	1.19487	1.58418	22.8329	412.278
12	0	0.0174652	0.973549	1.19829	1.85631	22.7314	411.753
13	0	0.0206871	0.968997	1.20206	2.14213	22.62	411.175
14	0	0.0242295	0.964094	1.20618	2.43935	22.4984	410.543
15	0	0.0281061	0.958842	1.21067	2.74562	22.3666	409.854
16	0	0.0323314	0.953247	1.21552	3.05853	22.2248	409.11
17	0	0.0369204	0.94731	1.22073	3.37561	22.0729	408.31
18	0	0.0418884	0.941036	1.2263	3.69437	21.9114	407.454
19	0	0.047251	0.934428	1.23222	4.01235	21.7405	406.543
20	0	0.053024	0.927491	1.23849	4.32714	21.5606	405.579
21	0	0.0592226	0.920228	1.24509	4.6364	21.3724	404.564
22	0	0.065862	0.912645	1.25201	4.93788	21.1764	403.501
23	0	0.0729568	0.904746	1.25921	5.22951	20.9734	402.392
24	0	0.0805207	0.896536	1.26669	5.50934	20.7643	401.241
25	0	0.0885663	0.888021	1.27441	5.77563	20.5499	400.053
26	0	0.0971052	0.879204	1.28234	6.02686	20.3312	398.832
27	0	0.106147	0.870093	1.29045	6.26173	20.1093	397.583
28	0	0.115701	0.860693	1.29871	6.47917	19.885	396.312
29	0	0.125773	0.85101	1.30709	6.67837	19.6595	395.023
30	0	0.136367	0.841049	1.31554	6.85878	19.4338	393.721
31	0	0.147487	0.830818	1.32404	7.02008	19.2088	392.413
32	0	0.159132	0.820322	1.33255	7.16219	18.9854	391.104
33	0	0.171301	0.809568	1.34105	7.28524	18.7644	389.797
34	0	0.18399	0.798564	1.34949	7.3896	18.5465	388.499
35	0	0.197194	0.787315	1.35787	7.47579	18.3323	387.212
36	0	0.210903	0.77583	1.36615	7.5445	18.1223	385.939
37	0	0.225109	0.764116	1.37432	7.59653	17.917	384.685
38	0	0.239801	0.75218	1.38237	7.63282	17.7163	383.449
39	0	0.254966	0.74003	1.3903	7.65433	17.5206	382.234
40	0	0.270589	0.727673	1.39809	7.66209	17.3298	381.04
41	0	0.286657	0.715119	1.40576	7.65715	17.1436	379.865
42	0	0.303153	0.702374	1.41331	7.64053	16.9618	378.71
43	0	0.320063	0.689448	1.42075	7.61322	16.784	377.572
44	0	0.337369	0.676348	1.42811	7.57616	16.6097	376.448
45	0	0.355055	0.663084	1.4354	7.53023	16.4385	375.334
46	0	0.373106	0.649663	1.44265	7.4762	16.2696	374.229
47	0	0.391504	0.636096	1.44989	7.41478	16.1024	373.125
48	0	0.410235	0.622391	1.45714	7.34657	15.9361	372.021
49	0	0.429283	0.608557	1.46444	7.27207	15.7701	370.91
50	0	0.448634	0.594604	1.47183	7.19172	15.6037	369.787
51	0	0.468272	0.58054	1.47934	7.10582	15.4361	368.647
52	0	0.488185	0.566376	1.48699	7.01465	15.2666	367.487
53	0	0.508358	0.552122	1.49483	6.91838	15.0947	366.299
54	0	0.518569	0.537786	1.4918	6.6809	15.1609	366.758
55	0	0.538832	0.523379	1.49991	6.57725	14.9842	365.531
56	0	0.549073	0.508912	1.49759	6.34561	15.0345	365.882
57	0	0.559232	0.494394	1.49566	6.11855	15.0765	366.173
58	0	0.56931	0.479835	1.49413	5.89595	15.1099	366.405
59	0	0.579307	0.465246	1.49301	5.67769	15.1346	366.576
60	0	0.589224	0.450638	1.49229	5.46366	15.1502	366.684
61	0	0.59906	0.436021	1.49198	5.25374	15.1569	366.73
62	0	0.608817	0.421406	1.49209	5.04784	15.1546	366.715
63	0	0.618493	0.406804	1.4926	4.84587	15.1435	366.638
64	0	0.62809	0.392226	1.4935	4.64774	15.1237	366.501
65	0	0.637605	0.377683	1.49479	4.45341	15.0955	366.305
66	0	0.647039	0.363186	1.49646	4.26282	15.0592	366.053
67	0	0.656391	0.348748	1.49849	4.07592	15.0151	365.746
68	0	0.661024	0.334378	1.49669	3.86275	15.0541	366.018
